Microcuenca,Anio,Estado,Municipio,NomAgente,NomGenero,NomEspecie,NombreComun,AfectacionArborea,AfectacionRepoblado,Activo
Laguna Salada,2012,Baja California,Ensenada,Descortezador,Desconocido,sp.,Desconocido,20,0,SI
Laguna Salada,2012,Baja California,Ensenada,Descortezador,Desconocido,sp.,Desconocido,20,0,SI
Laguna Salada,2012,Baja California,Ensenada,Descortezador,Desconocido,sp.,Desconocido,20,0,SI
Laguna Salada,2012,Baja California,Ensenada,Descortezador,Desconocido,sp.,Desconocido,20,0,SI
Laguna Salada,2010,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Laguna Salada,2010,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Laguna Salada,2010,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Laguna Salada,2010,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Arroyo Grande,2011,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Arroyo Grande,2011,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Arroyo Grande,2011,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Arroyo Grande,2011,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
CUITACA,2013,Sonora,Arizpe,Descortezador,Desconocido,sp.,Descortezador,20,5,SI
CUITACA,2013,Sonora,Arizpe,Descortezador,Desconocido,sp.,Descortezador,20,5,SI
CUITACA,2013,Sonora,Arizpe,Descortezador,Desconocido,sp.,Descortezador,20,5,SI
CUITACA,2013,Sonora,Arizpe,Descortezador,Desconocido,sp.,Descortezador,20,5,SI
EL ALAMO,2011,Sonora,Arizpe,Muérdago,Phoradendron,sp.,Toji,1,0,SI
EL ALAMO,2011,Sonora,Arizpe,Muérdago,Phoradendron,sp.,Toji,1,0,SI
EL ALAMO,2011,Sonora,Arizpe,Muérdago,Phoradendron,sp.,Toji,1,0,SI
EL ALAMO,2011,Sonora,Arizpe,Muérdago,Phoradendron,sp.,Toji,1,0,SI
COLONIA MEXICO,2012,Chihuahua,Janos,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
COLONIA MEXICO,2012,Chihuahua,Janos,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
COLONIA MEXICO,2012,Chihuahua,Janos,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
COLONIA MEXICO,2012,Chihuahua,Janos,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
MONTE VERDE (ALTAMIRA),2013,Chihuahua,Janos,Muerdago,Phoradendron,sp.,muerdago,4,1,SI
MONTE VERDE (ALTAMIRA),2013,Chihuahua,Janos,Muerdago,Phoradendron,sp.,muerdago,4,1,SI
MONTE VERDE (ALTAMIRA),2013,Chihuahua,Janos,Muerdago,Phoradendron,sp.,muerdago,4,1,SI
MONTE VERDE (ALTAMIRA),2013,Chihuahua,Janos,Muerdago,Phoradendron,sp.,muerdago,4,1,SI
TRES ALAMOS,2010,Chihuahua,Janos,Muérdago,Arceuthobium,sp.,Muerdago,8,3,SI
TRES ALAMOS,2010,Chihuahua,Janos,Muérdago,Arceuthobium,sp.,Muerdago,8,3,SI
TRES ALAMOS,2010,Chihuahua,Janos,Muérdago,Arceuthobium,sp.,Muerdago,8,3,SI
TRES ALAMOS,2010,Chihuahua,Janos,Muérdago,Arceuthobium,sp.,Muerdago,8,3,SI
MONTE VERDE (ALTAMIRA),2011,Sonora,Bacerac,Muérdago,Phoradendron,sp.,Toji.,1,0,SI
MONTE VERDE (ALTAMIRA),2011,Sonora,Bacerac,Muérdago,Phoradendron,sp.,Toji.,1,0,SI
MONTE VERDE (ALTAMIRA),2011,Sonora,Bacerac,Muérdago,Phoradendron,sp.,Toji.,1,0,SI
MONTE VERDE (ALTAMIRA),2011,Sonora,Bacerac,Muérdago,Phoradendron,sp.,Toji.,1,0,SI
TRES ALAMOS,2012,Chihuahua,Janos,Descortezador,Desconocido,sp.,Descortezador,8,0,SI
TRES ALAMOS,2012,Chihuahua,Janos,Descortezador,Desconocido,sp.,Descortezador,8,0,SI
TRES ALAMOS,2012,Chihuahua,Janos,Descortezador,Desconocido,sp.,Descortezador,8,0,SI
TRES ALAMOS,2012,Chihuahua,Janos,Descortezador,Desconocido,sp.,Descortezador,8,0,SI
08-021-02-043,2010,Sonora,Benjamin Hill,Muérdago,Phoradendron,californicum,Toji,45,1,SI
08-021-02-043,2010,Sonora,Benjamin Hill,Muérdago,Phoradendron,californicum,Toji,45,1,SI
08-021-02-043,2010,Sonora,Benjamin Hill,Muérdago,Phoradendron,californicum,Toji,45,1,SI
08-021-02-043,2010,Sonora,Benjamin Hill,Muérdago,Phoradendron,californicum,Toji,45,1,SI
EL ABANICO,2014,Sonora,Huasabas,Defoliador,Desconocido,sp.,gusano,20,0,SI
EL ABANICO,2014,Sonora,Huasabas,Defoliador,Desconocido,sp.,gusano,20,0,SI
EL ABANICO,2014,Sonora,Huasabas,Defoliador,Desconocido,sp.,gusano,20,0,SI
EL ABANICO,2014,Sonora,Huasabas,Defoliador,Desconocido,sp.,gusano,20,0,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Barrenador,Desconocido,sp.,Barrenador,25,5,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Barrenador,Desconocido,sp.,Barrenador,25,5,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Barrenador,Desconocido,sp.,Barrenador,25,5,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Barrenador,Desconocido,sp.,Barrenador,25,5,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Descortezador,Dendroctonus,sp.,Descortezador,2,0,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Descortezador,Dendroctonus,sp.,Descortezador,2,0,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Descortezador,Dendroctonus,sp.,Descortezador,2,0,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Descortezador,Dendroctonus,sp.,Descortezador,2,0,SI
CASAS GRANDES,2010,Chihuahua,Casas Grandes,Muérdago,Arceuthobium,sp.,Muerdago,15,0,SI
CASAS GRANDES,2010,Chihuahua,Casas Grandes,Muérdago,Arceuthobium,sp.,Muerdago,15,0,SI
CASAS GRANDES,2010,Chihuahua,Casas Grandes,Muérdago,Arceuthobium,sp.,Muerdago,15,0,SI
CASAS GRANDES,2010,Chihuahua,Casas Grandes,Muérdago,Arceuthobium,sp.,Muerdago,15,0,SI
09-023-01-048,2013,Sonora,San Felipe de Jesus,Descortezador,Desconocido,sp.,Descortezador,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Descortezador,Desconocido,sp.,Descortezador,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Descortezador,Desconocido,sp.,Descortezador,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Descortezador,Desconocido,sp.,Descortezador,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Muerdago,Phoradendron,sp.,Muerdago,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Muerdago,Phoradendron,sp.,Muerdago,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Muerdago,Phoradendron,sp.,Muerdago,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Muerdago,Phoradendron,sp.,Muerdago,5,0,NO
SECCION EL ORO,2013,Sonora,Nacori Chico,Descortezador,Desconocido,sp.,Destoconador,3,0,SI
SECCION EL ORO,2013,Sonora,Nacori Chico,Descortezador,Desconocido,sp.,Destoconador,3,0,SI
SECCION EL ORO,2013,Sonora,Nacori Chico,Descortezador,Desconocido,sp.,Destoconador,3,0,SI
SECCION EL ORO,2013,Sonora,Nacori Chico,Descortezador,Desconocido,sp.,Destoconador,3,0,SI
PUERTO LIBERTAD,2011,Sonora,Pitiquito,Muérdago,Phoradendron,californicum,Toji,5,0,NO
PUERTO LIBERTAD,2011,Sonora,Pitiquito,Muérdago,Phoradendron,californicum,Toji,5,0,NO
PUERTO LIBERTAD,2011,Sonora,Pitiquito,Muérdago,Phoradendron,californicum,Toji,5,0,NO
PUERTO LIBERTAD,2011,Sonora,Pitiquito,Muérdago,Phoradendron,californicum,Toji,5,0,NO
LA INMACULADITA (LOS CHAPOS),2013,Sonora,Hermosillo,Muerdago,Phoradendron,sp.,muérdago,2,0,SI
LA INMACULADITA (LOS CHAPOS),2013,Sonora,Hermosillo,Muerdago,Phoradendron,sp.,muérdago,2,0,SI
LA INMACULADITA (LOS CHAPOS),2013,Sonora,Hermosillo,Muerdago,Phoradendron,sp.,muérdago,2,0,SI
LA INMACULADITA (LOS CHAPOS),2013,Sonora,Hermosillo,Muerdago,Phoradendron,sp.,muérdago,2,0,SI
LA ESTANCIA,2013,Sonora,Divisaderos,Muerdago,Desconocido,sp.,Muerdago,5,0,SI
LA ESTANCIA,2013,Sonora,Divisaderos,Muerdago,Desconocido,sp.,Muerdago,5,0,SI
LA ESTANCIA,2013,Sonora,Divisaderos,Muerdago,Desconocido,sp.,Muerdago,5,0,SI
LA ESTANCIA,2013,Sonora,Divisaderos,Muerdago,Desconocido,sp.,Muerdago,5,0,SI
ABDENAGO C. GARCIA (LAGUNITAS),2010,Chihuahua,Ignacio Zaragoza,Barrenador,Desconocido,sp.,Barrenador,1,0,SI
ABDENAGO C. GARCIA (LAGUNITAS),2010,Chihuahua,Ignacio Zaragoza,Barrenador,Desconocido,sp.,Barrenador,1,0,SI
ABDENAGO C. GARCIA (LAGUNITAS),2010,Chihuahua,Ignacio Zaragoza,Barrenador,Desconocido,sp.,Barrenador,1,0,SI
ABDENAGO C. GARCIA (LAGUNITAS),2010,Chihuahua,Ignacio Zaragoza,Barrenador,Desconocido,sp.,Barrenador,1,0,SI
34-135-02-019,2011,Chihuahua,Namiquipa,Muérdago,Arceuthobium,sp.,Muerdago,40,0,SI
34-135-02-019,2011,Chihuahua,Namiquipa,Muérdago,Arceuthobium,sp.,Muerdago,40,0,SI
34-135-02-019,2011,Chihuahua,Namiquipa,Muérdago,Arceuthobium,sp.,Muerdago,40,0,SI
34-135-02-019,2011,Chihuahua,Namiquipa,Muérdago,Arceuthobium,sp.,Muerdago,40,0,SI
NICOLAS BRAVO,2010,Chihuahua,Temosachi,Barrenador,Desconocido,sp.,Barrenador,2,0,SI
NICOLAS BRAVO,2010,Chihuahua,Temosachi,Barrenador,Desconocido,sp.,Barrenador,2,0,SI
NICOLAS BRAVO,2010,Chihuahua,Temosachi,Barrenador,Desconocido,sp.,Barrenador,2,0,SI
NICOLAS BRAVO,2010,Chihuahua,Temosachi,Barrenador,Desconocido,sp.,Barrenador,2,0,SI
SANTA INES DOS (LOS PINITOS),2011,Sonora,Hermosillo,Muérdago,Phoradendron,californicum,Toji,20,0,SI
SANTA INES DOS (LOS PINITOS),2011,Sonora,Hermosillo,Muérdago,Phoradendron,californicum,Toji,20,0,SI
SANTA INES DOS (LOS PINITOS),2011,Sonora,Hermosillo,Muérdago,Phoradendron,californicum,Toji,20,0,SI
SANTA INES DOS (LOS PINITOS),2011,Sonora,Hermosillo,Muérdago,Phoradendron,californicum,Toji,20,0,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Barrenador,Conocido,sp.,Barrenador,3,0,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Barrenador,Conocido,sp.,Barrenador,3,0,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Barrenador,Conocido,sp.,Barrenador,3,0,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Barrenador,Conocido,sp.,Barrenador,3,0,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Muérdago,Phoradendron,sp.,Muerdago,2,0,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Muérdago,Phoradendron,sp.,Muerdago,2,0,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Muérdago,Phoradendron,sp.,Muerdago,2,0,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Muérdago,Phoradendron,sp.,Muerdago,2,0,SI
TRES OJITOS,2011,Chihuahua,Temosachi,Muérdago,Phoradendron,sp.,Muerdago,2,0,SI
TRES OJITOS,2011,Chihuahua,Temosachi,Muérdago,Phoradendron,sp.,Muerdago,2,0,SI
TRES OJITOS,2011,Chihuahua,Temosachi,Muérdago,Phoradendron,sp.,Muerdago,2,0,SI
TRES OJITOS,2011,Chihuahua,Temosachi,Muérdago,Phoradendron,sp.,Muerdago,2,0,SI
VALENTIN GOMEZ FARIAS,2012,Chihuahua,Matachi,Barrenador,Conocido,sp.,Barrenador,10,5,SI
VALENTIN GOMEZ FARIAS,2012,Chihuahua,Matachi,Barrenador,Conocido,sp.,Barrenador,10,5,SI
VALENTIN GOMEZ FARIAS,2012,Chihuahua,Matachi,Barrenador,Conocido,sp.,Barrenador,10,5,SI
VALENTIN GOMEZ FARIAS,2012,Chihuahua,Matachi,Barrenador,Conocido,sp.,Barrenador,10,5,SI
EL SAUZ,2011,Chihuahua,Chihuahua,Muérdago,Phoradendron,sp.,Muerdago,0,2,SI
EL SAUZ,2011,Chihuahua,Chihuahua,Muérdago,Phoradendron,sp.,Muerdago,0,2,SI
EL SAUZ,2011,Chihuahua,Chihuahua,Muérdago,Phoradendron,sp.,Muerdago,0,2,SI
EL TERRERO,2010,Chihuahua,Bachiniva,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
EL TERRERO,2010,Chihuahua,Bachiniva,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
EL TERRERO,2010,Chihuahua,Bachiniva,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
EL TERRERO,2010,Chihuahua,Bachiniva,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Defoliador,Desconocido,sp.,Defoliador,10,30,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Defoliador,Desconocido,sp.,Defoliador,10,30,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Defoliador,Desconocido,sp.,Defoliador,10,30,SI
EL SAUZ,2012,Chihuahua,Chihuahua,Defoliador,Desconocido,sp.,Defoliador,10,30,SI
EL TERRERO,2011,Chihuahua,Namiquipa,Muérdago,Desconocido,sp.,Toji,2,0,SI
EL TERRERO,2011,Chihuahua,Namiquipa,Muérdago,Desconocido,sp.,Toji,2,0,SI
EL TERRERO,2011,Chihuahua,Namiquipa,Muérdago,Desconocido,sp.,Toji,2,0,SI
EL TERRERO,2011,Chihuahua,Namiquipa,Muérdago,Desconocido,sp.,Toji,2,0,SI
EL TERRERO,2012,Chihuahua,Bachiniva,Barrenador,Desconocido,sp.,Barrenador.,5,0,SI
EL TERRERO,2012,Chihuahua,Bachiniva,Barrenador,Desconocido,sp.,Barrenador.,5,0,SI
EL TERRERO,2012,Chihuahua,Bachiniva,Barrenador,Desconocido,sp.,Barrenador.,5,0,SI
EL TERRERO,2012,Chihuahua,Bachiniva,Barrenador,Desconocido,sp.,Barrenador.,5,0,SI
TEMOSACHI,2011,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago.,2,0,SI
TEMOSACHI,2011,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago.,2,0,SI
TEMOSACHI,2011,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago.,2,0,SI
TEMOSACHI,2011,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago.,2,0,SI
09-027-14-007,2011,Chihuahua,Temosachi,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
09-027-14-007,2011,Chihuahua,Temosachi,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
09-027-14-007,2011,Chihuahua,Temosachi,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
09-027-14-007,2011,Chihuahua,Temosachi,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
09-027-14-009,2010,Chihuahua,Temosachi,Muérdago,Arceuthobium,sp.,Muerdago,10,0,SI
09-027-14-009,2010,Chihuahua,Temosachi,Muérdago,Arceuthobium,sp.,Muerdago,10,0,SI
09-027-14-009,2010,Chihuahua,Temosachi,Muérdago,Arceuthobium,sp.,Muerdago,10,0,SI
09-027-14-009,2010,Chihuahua,Temosachi,Muérdago,Arceuthobium,sp.,Muerdago,10,0,SI
MATACHI,2011,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
MATACHI,2011,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
MATACHI,2011,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
MATACHI,2011,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
SALVADOR GOMEZ Y GOMEZ (EL NOGAL),2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,5,0,SI
SALVADOR GOMEZ Y GOMEZ (EL NOGAL),2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,5,0,SI
SALVADOR GOMEZ Y GOMEZ (EL NOGAL),2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,5,0,SI
SALVADOR GOMEZ Y GOMEZ (EL NOGAL),2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,5,0,SI
LAS VARAS,2011,Chihuahua,Cuauhtemoc,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
LAS VARAS,2011,Chihuahua,Cuauhtemoc,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
LAS VARAS,2011,Chihuahua,Cuauhtemoc,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
LAS VARAS,2011,Chihuahua,Cuauhtemoc,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
09-027-09-025,2010,Chihuahua,Temosachi,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
09-027-09-025,2010,Chihuahua,Temosachi,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
09-027-09-025,2010,Chihuahua,Temosachi,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
09-027-09-025,2010,Chihuahua,Temosachi,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
SANTO TOMAS,2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,35,45,SI
SANTO TOMAS,2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,35,45,SI
SANTO TOMAS,2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,35,45,SI
SANTO TOMAS,2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,35,45,SI
TESORIPA,2011,Sonora,Yecora,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
TESORIPA,2011,Sonora,Yecora,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
TESORIPA,2011,Sonora,Yecora,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
TESORIPA,2011,Sonora,Yecora,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
ANAHUAC,2012,Chihuahua,Riva Palacio,Defoliador,Desconocido,sp.,Defoliador,30,15,SI
ANAHUAC,2012,Chihuahua,Riva Palacio,Defoliador,Desconocido,sp.,Defoliador,30,15,SI
ANAHUAC,2012,Chihuahua,Riva Palacio,Defoliador,Desconocido,sp.,Defoliador,30,15,SI
ANAHUAC,2012,Chihuahua,Riva Palacio,Defoliador,Desconocido,sp.,Defoliador,30,15,SI
LA COBALMAR,2010,Sonora,Guaymas,Muérdago,Phoradendron,californicum,Toji,2,0,SI
LA COBALMAR,2010,Sonora,Guaymas,Muérdago,Phoradendron,californicum,Toji,2,0,SI
LA COBALMAR,2010,Sonora,Guaymas,Muérdago,Phoradendron,californicum,Toji,2,0,SI
LA COBALMAR,2010,Sonora,Guaymas,Muérdago,Phoradendron,californicum,Toji,2,0,SI
EL ENCINAL,2010,Sonora,Yecora,Muérdago,Desconocido,sp.,Muerdago,5,0,NO
EL ENCINAL,2010,Sonora,Yecora,Muérdago,Desconocido,sp.,Muerdago,5,0,NO
EL ENCINAL,2010,Sonora,Yecora,Muérdago,Desconocido,sp.,Muerdago,5,0,NO
EL ENCINAL,2010,Sonora,Yecora,Muérdago,Desconocido,sp.,Muerdago,5,0,NO
ANAHUAC,2012,Chihuahua,Gran Morelos,Barrenador,Desconocido,sp.,Barrenador,50,10,SI
ANAHUAC,2012,Chihuahua,Gran Morelos,Barrenador,Desconocido,sp.,Barrenador,50,10,SI
ANAHUAC,2012,Chihuahua,Gran Morelos,Barrenador,Desconocido,sp.,Barrenador,50,10,SI
ANAHUAC,2012,Chihuahua,Gran Morelos,Barrenador,Desconocido,sp.,Barrenador,50,10,SI
PIEDRAS NEGRAS,2010,Coahuila de Zaragoza,Nava,Barrenador,Desconocido,sp.,Desconocido,20,0,NO
PIEDRAS NEGRAS,2010,Coahuila de Zaragoza,Nava,Barrenador,Desconocido,sp.,Desconocido,20,0,NO
PIEDRAS NEGRAS,2010,Coahuila de Zaragoza,Nava,Barrenador,Desconocido,sp.,Desconocido,20,0,NO
PIEDRAS NEGRAS,2010,Coahuila de Zaragoza,Nava,Barrenador,Desconocido,sp.,Desconocido,20,0,NO
AGUA BLANCA,2010,Chihuahua,Moris,Muérdago,Phoradendron,sp.,Toji,15,0,SI
AGUA BLANCA,2010,Chihuahua,Moris,Muérdago,Phoradendron,sp.,Toji,15,0,SI
AGUA BLANCA,2010,Chihuahua,Moris,Muérdago,Phoradendron,sp.,Toji,15,0,SI
AGUA BLANCA,2010,Chihuahua,Moris,Muérdago,Phoradendron,sp.,Toji,15,0,SI
CIENEGA DE CAMILO,2011,Chihuahua,Moris,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
CIENEGA DE CAMILO,2011,Chihuahua,Moris,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
CIENEGA DE CAMILO,2011,Chihuahua,Moris,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
CIENEGA DE CAMILO,2011,Chihuahua,Moris,Muérdago,Arceuthobium,sp.,Muerdago,1,0,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,15,35,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,15,35,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,15,35,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,15,35,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Muérdago,Phoradendron,sp.,Muerdago,10,25,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Muérdago,Phoradendron,sp.,Muerdago,10,25,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Muérdago,Phoradendron,sp.,Muerdago,10,25,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Muérdago,Phoradendron,sp.,Muerdago,10,25,SI
BASUCHIL,2010,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
BASUCHIL,2010,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
BASUCHIL,2010,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
BASUCHIL,2010,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,2,0,SI
ANAHUAC,2011,Chihuahua,Cusihuiriachi,Muérdago,Arceuthobium,sp.,Muerdago,5,0,SI
ANAHUAC,2011,Chihuahua,Cusihuiriachi,Muérdago,Arceuthobium,sp.,Muerdago,5,0,SI
ANAHUAC,2011,Chihuahua,Cusihuiriachi,Muérdago,Arceuthobium,sp.,Muerdago,5,0,SI
ANAHUAC,2011,Chihuahua,Cusihuiriachi,Muérdago,Arceuthobium,sp.,Muerdago,5,0,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,10,15,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,10,15,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,10,15,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,10,15,SI
BOQUILLA Y ANEXAS (BAJE DE AGUA),2011,Chihuahua,Cusihuiriachi,Muérdago,Arceuthobium,sp.,muerdago,10,2,SI
BOQUILLA Y ANEXAS (BAJE DE AGUA),2011,Chihuahua,Cusihuiriachi,Muérdago,Arceuthobium,sp.,muerdago,10,2,SI
BOQUILLA Y ANEXAS (BAJE DE AGUA),2011,Chihuahua,Cusihuiriachi,Muérdago,Arceuthobium,sp.,muerdago,10,2,SI
BOQUILLA Y ANEXAS (BAJE DE AGUA),2011,Chihuahua,Cusihuiriachi,Muérdago,Arceuthobium,sp.,muerdago,10,2,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,35,40,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,35,40,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,35,40,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Barrenador,Desconocido,sp.,Barrenador,35,40,SI
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Muérdago,Desconocido,sp.,Muérdago,65,70,NO
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Muérdago,Desconocido,sp.,Muérdago,65,70,NO
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Muérdago,Desconocido,sp.,Muérdago,65,70,NO
ANAHUAC,2012,Chihuahua,Cusihuiriachi,Muérdago,Desconocido,sp.,Muérdago,65,70,NO
CIENEGUITA,2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,4,2,SI
CIENEGUITA,2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,4,2,SI
CIENEGUITA,2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,4,2,SI
CIENEGUITA,2012,Chihuahua,Guerrero,Barrenador,Desconocido,sp.,Barrenador,4,2,SI
CIENEGUITA,2012,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,1,1,SI
CIENEGUITA,2012,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,1,1,SI
CIENEGUITA,2012,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,1,1,SI
CIENEGUITA,2012,Chihuahua,Guerrero,Muérdago,Arceuthobium,sp.,Muerdago,1,1,SI
RANCHO DE SANTIAGO,2011,Chihuahua,Carichi,Muérdago,Arceuthobium,sp.,Muerdago,5,0,SI
RANCHO DE SANTIAGO,2011,Chihuahua,Carichi,Muérdago,Arceuthobium,sp.,Muerdago,5,0,SI
RANCHO DE SANTIAGO,2011,Chihuahua,Carichi,Muérdago,Arceuthobium,sp.,Muerdago,5,0,SI
RANCHO DE SANTIAGO,2011,Chihuahua,Carichi,Muérdago,Arceuthobium,sp.,Muerdago,5,0,SI
GUADALUPE VICTORIA (SANTA LUCIA),2013,Chihuahua,Dr. Belisario Dominguez,Muerdago,Phoradendron,sp.,Muerdago,50,0,NO
GUADALUPE VICTORIA (SANTA LUCIA),2013,Chihuahua,Dr. Belisario Dominguez,Muerdago,Phoradendron,sp.,Muerdago,50,0,NO
